CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
11	22	1	0.7295	-14.115
15	22	1	0.7759	-100.100
11	12	1	0.785	18.011
35	96	2	0.8285	-18.979
91	96	2	0.8349	-19.016
96	278	2	0.8266	-57.021
157	245	2	0.815	10.034
158	245	2	0.8854	-80.059
174	245	2	0.8109	-60.080
245	259	2	0.9038	-44.026
245	291	2	0.8561	-1.107
245	347	2	0.9304	18.920
245	408	2	0.8147	-18.064
53	57	2	0.8976	67.987
54	57	2	0.9322	83.961
67	347	2	0.8124	52.845
321	347	2	0.8558	4.031
347	359	2	0.9111	-83.110
118	234	2	0.8898	-0.054
147	234	2	0.8768	-0.054
175	234	2	0.9015	-0.054
259	329	2	0.896	-37.979
151	304	2	0.8099	-120.032
158	304	2	0.8377	-106.042
272	279	2	0.8687	0.000
274	279	2	0.9011	0.000
279	298	2	0.9067	-58.042
279	332	2	0.9327	1.979
279	352	2	0.8817	-56.062
115	157	2	0.8101	-24.087
157	200	2	0.816	90.093
157	227	2	0.8175	18.011
320	349	2	0.8208	88.089
349	372	2	0.8057	-200.214
349	408	2	0.9304	-77.015
259	415	2	0.8387	-206.182
62	335	2	0.8657	-26.053
113	335	2	0.8933	119.970
163	335	2	0.8543	-137.070
242	335	2	0.897	-28.031
324	335	2	0.8448	13.164
325	335	2	0.8448	-30.862
61	63	2	0.8213	-128.106
63	67	2	0.9003	83.961
276	278	2	0.8182	45.058
155	320	2	0.8664	99.805
286	320	2	0.8496	96.887
291	320	2	0.9601	-28.031
320	321	2	0.9009	44.026
320	322	2	0.8236	-15.995
320	324	2	0.9766	-28.031
320	325	2	0.8288	15.995
320	345	2	0.9399	-56.063
320	372	2	0.9695	-112.125
364	365	2	0.8289	-28.031
365	417	2	0.8818	28.031
61	119	2	0.8458	-128.178
84	119	2	0.8485	-79.966
119	140	2	0.9183	-13.007
119	151	2	0.8201	212.008
119	166	2	0.9413	-29.002
119	221	2	0.9026	-13.007
44	47	2	0.8458	-15.974
45	47	2	0.9408	100.100
46	47	2	0.8469	32.113
47	50	2	0.9336	-15.974
47	52	2	0.9382	100.100
47	56	2	0.9194	-17.972
47	58	2	0.8738	-83.797
45	46	2	0.8389	67.987
46	48	2	0.9161	184.061
46	55	2	0.9446	100.100
136	163	2	0.8255	132.042
151	163	2	0.9455	-0.984
158	163	2	0.83	13.006
163	200	2	0.811	-13.006
163	281	2	0.8631	-91.086
163	359	2	0.8647	-157.255
163	364	2	0.8274	-24.984
163	417	2	0.8626	-24.984
259	449	2	0.8463	-208.182
368	449	2	0.8542	-184.982
155	372	2	0.9018	-12.320
291	372	2	0.9522	-140.156
292	372	2	0.8434	-184.183
321	372	2	0.8543	-156.151
324	372	2	0.9679	-84.094
325	372	2	0.8444	-128.120
345	372	2	0.9476	-56.062
