feature_id	rank_spec	msms_score	libname	structure_wikidata	structure_inchikey	structure_inchi	structure_smiles	structure_molecular_formula	adduct	structure_exact_mass	structure_nameTraditional	short_inchikey	structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class	organism_wikidata	organism_name	organism_taxonomy_ottid	organism_taxonomy_01domain	organism_taxonomy_02kingdom	organism_taxonomy_03phylum	organism_taxonomy_04class	organism_taxonomy_05order	organism_taxonomy_06family	organism_taxonomy_07tribe	organism_taxonomy_08genus	organism_taxonomy_09species	organism_taxonomy_10varietas	matched_domain	matched_kingdom	matched_phylum	matched_class	matched_order	matched_family	matched_tribe	matched_genus	matched_species	score_taxo	score_max_consistency	final_score	rank_final	component_id	structure_taxonomy_npclassifier_01pathway_consensus	freq_structure_taxonomy_npclassifier_01pathway	structure_taxonomy_npclassifier_02superclass_consensus	freq_structure_taxonomy_npclassifier_02superclass	structure_taxonomy_npclassifier_03class_consensus	freq_structure_taxonomy_npclassifier_03class
101	1.0	0.8724076	ISDB	http://www.wikidata.org/entity/Q3132238	ZDGJAHTZVHVLOT-YUMQZZPRSA-N	InChI=1S/C11H20N2O6/c12-7(10(16)17)3-1-2-6-13-8(11(18)19)4-5-9(14)15/h7-8,13H,1-6,12H2,(H,14,15)(H,16,17)(H,18,19)/t7-,8-/m0/s1	N[C@@H](CCCCN[C@@H](CCC(=O)O)C(=O)O)C(=O)O	C11H20N2O6	nan	276.13213636	L-Saccharopine	ZDGJAHTZVHVLOT	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	10.989630460739136	1	59	Alkaloids	0.5	Small peptides	0.5	Aminoacids	0.5
104	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q181136	WHUUTDBJXJRKMK-UHFFFAOYSA-N	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	NC(CCC(=O)O)C(=O)O	C5H9NO4	pos_1_1proton	147.053157768	2-Azaniumyl-5-hydroxy-5-oxopentanoate	WHUUTDBJXJRKMK	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5	1	6	Amino acids and Peptides	0.38461538461538464	Small peptides	0.38461538461538464	Aminoacids	0.358974358974359
112	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q27102633	HFYBTHCYPKEDQQ-RITPCOANSA-N	InChI=1S/C6H11N2O6P/c9-5(2-14-15(11,12)13)6(10)4-1-7-3-8-4/h1,3,5-6,9-10H,2H2,(H,7,8)(H2,11,12,13)/t5-,6+/m1/s1	O=P(O)(O)OC[C@@H](O)[C@@H](O)c1cnc[nH]1	C6H11N2O6P	pos_1_1proton	238.035472702	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	HFYBTHCYPKEDQQ	Alkaloids	nan	nan	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	1	6.5	1	4	Alkaloids	0.5714285714285714	Nicotinic acid alkaloids	0.42857142857142855	Aminoacids	0.42857142857142855
114	6.0	0.5121385	ISDB	http://www.wikidata.org/entity/Q27093079	SNEIUMQYRCDYCH-LURJTMIESA-N	InChI=1S/C8H16N4O3/c1-5(13)12-6(7(14)15)3-2-4-11-8(9)10/h6H,2-4H2,1H3,(H,12,13)(H,14,15)(H4,9,10,11)/t6-/m0/s1	CC(=O)N[C@@H](CCCNC(=N)N)C(=O)O	C8H16N4O3	nan	216.122240372	(2S)-2-acetamido-5-(diaminomethylideneazaniumyl)pentanoate	SNEIUMQYRCDYCH	Amino acids and Peptides	Small peptides	Dipeptides	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	0	8.048553943634033	1	-1	nan	nan	nan	nan	nan	nan
12	14.0	0.42971542	ISDB	http://www.wikidata.org/entity/Q105023071	GXHXCHAETADHEX-UHFFFAOYSA-N	InChI=1S/C12H14N2O2S2/c1-16-14-9-6-4-3-5-8(9)10(15)12(14)7-13-11(17-2)18-12/h3-6,10,15H,7H2,1-2H3	CON1c2ccccc2C(O)C12CN=C(SC)S2	C12H14N2O2S2	nan	282.049669688	Dihydroerucalexin	GXHXCHAETADHEX	Alkaloids	nan	nan	http://www.wikidata.org/entity/Q6528396	Leptosphaeria maculans	581438.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Dothideomycetes']	['Pleosporales']	['Leptosphaeriaceae']	['Unknown']	['Leptosphaeria']	['Leptosphaeria maculans']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	nan	nan	nan	nan	3	1	5.218861699104309	1	1	Alkaloids	0.5	Tryptophan alkaloids	0.5	Miscellaneous meroterpenoids	0.25
121	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q238474	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	InChI=1S/C5H9NO3/c6-3-4(7)1-2-5(8)9/h1-3,6H2,(H,8,9)	NCC(=O)CCC(=O)O	C5H9NO3	pos_1_1proton1acetonitrile	131.058243148	5-Azaniumyl-4-oxopentanoate	ZGXJTSGNIOSYLO	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5	1	6	Amino acids and Peptides	0.38461538461538464	Small peptides	0.38461538461538464	Aminoacids	0.358974358974359
122	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q181136	WHUUTDBJXJRKMK-UHFFFAOYSA-N	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	NC(CCC(=O)O)C(=O)O	C5H9NO4	pos_1_1proton1methanol	147.053157768	2-Azaniumyl-5-hydroxy-5-oxopentanoate	WHUUTDBJXJRKMK	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5	1	19	Carbohydrates	1.0	Small peptides	0.5	Aminoacids	0.5
125	1.0	0.0	MS1_match	http://www.wikidata.org/entity/Q418834	ATHGHQPFGPMSJY-UHFFFAOYSA-N	InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2	NCCCCNCCCN	C7H19N3	pos_1_1proton	145.15789760799998	Spermidine	ATHGHQPFGPMSJY	Alkaloids	Ornithine alkaloids	Polyamines	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	7.5	1	32	Alkaloids	0.42857142857142855	Ornithine alkaloids	0.42857142857142855	Polyamines	0.42857142857142855
127	1.0|1.0|1.0|1.0	0.0|0.0|0.0|0.0	MS1_match|MS1_match|MS1_match|MS1_match	http://www.wikidata.org/entity/Q103818207|http://www.wikidata.org/entity/Q105019941|http://www.wikidata.org/entity/Q104984623|http://www.wikidata.org/entity/Q27131202	CZMRCDWAGMRECN-UHFFFAOYSA-N|GUBGYTABKSRVRQ-UHFFFAOYSA-N|DLRVVLDZNNYCBX-UHFFFAOYSA-N|HIWPGCMGAMJNRG-LBGGPIGOSA-N	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2|InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2|InChI=1S/C12H22O11/c13-1-3-5(14)8(17)10(19)12(23-3)21-2-4-6(15)7(16)9(18)11(20)22-4/h3-20H,1-2H2|InChI=1S/C12H22O11/c13-1-3-6(16)8(18)10(11(20)21-3)23-12-9(19)7(17)5(15)4(2-14)22-12/h3-20H,1-2H2/t3-,4-,5-,6-,7+,8+,9+,10+,11+,12-/m1/s1	OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O|OCC1OC(OC2C(CO)OC(O)C(O)C2O)C(O)C(O)C1O|OCC1OC(OCC2OC(O)C(O)C(O)C2O)C(O)C(O)C1O|OC[C@H]1O[C@H](O[C@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]2O)[C@@H](O)[C@@H](O)[C@@H]1O	C12H22O11|C12H22O11|C12H22O11|C12H22O11	pos_1_1proton1ammonium|pos_1_1proton1ammonium|pos_1_1proton1ammonium|pos_1_1proton1ammonium	342.11621152399994|342.11621152399994|342.11621152399994|342.116211524	Hex-2-ulofuranosyl hexopyranoside|Cellobiose|Isomaltose|2-O-Alpha-D-Mannopyranosyl-Alpha-D-Mannopyranose	CZMRCDWAGMRECN|GUBGYTABKSRVRQ|DLRVVLDZNNYCBX|HIWPGCMGAMJNRG	Carbohydrates|Carbohydrates|Carbohydrates|Carbohydrates	Saccharides|Saccharides|Saccharides|Saccharides	Disaccharides|Disaccharides|Disaccharides|Disaccharides	http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae|Saccharomyces cerevisiae|Saccharomyces cerevisiae|Saccharomyces cerevisiae	356221.0|356221.0|356221.0|356221.0	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Fungi']|['Fungi']|['Fungi']|['Fungi']	['Ascomycota']|['Ascomycota']|['Ascomycota']|['Ascomycota']	['Unknown']|['Unknown']|['Unknown']|['Unknown']	['Saccharomycetales']|['Saccharomycetales']|['Saccharomycetales']|['Saccharomycetales']	['Saccharomycetaceae']|['Saccharomycetaceae']|['Saccharomycetaceae']|['Saccharomycetaceae']	['Unknown']|['Unknown']|['Unknown']|['Unknown']	['Saccharomyces']|['Saccharomyces']|['Saccharomyces']|['Saccharomyces']	['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']	nan|nan|nan|nan	['Eukaryota']|['Eukaryota']|['Eukaryota']|['Eukaryota']	['Fungi']|['Fungi']|['Fungi']|['Fungi']	['Ascomycota']|['Ascomycota']|['Ascomycota']|['Ascomycota']	nan|nan|nan|nan	nan|nan|nan|nan	['Saccharomycetaceae']|['Saccharomycetaceae']|['Saccharomycetaceae']|['Saccharomycetaceae']	nan|nan|nan|nan	['Saccharomyces']|['Saccharomyces']|['Saccharomyces']|['Saccharomyces']	['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']	6|6|6|6	1|1|1|1	6.5|6.5|6.5|6.5	1|1|1|1	19	Carbohydrates	1.0	Small peptides	0.5	Aminoacids	0.5
131	2.0	0.47131443	ISDB	http://www.wikidata.org/entity/Q27107556	FCXZBWSIAGGPCB-UHFFFAOYSA-N	InChI=1S/C6H11NO4/c1-4(8)11-3-2-5(7)6(9)10/h5H,2-3,7H2,1H3,(H,9,10)	CC(=O)OCCC(N)C(=O)O	C6H11NO4	nan	161.068807832	4-(Acetyloxy)-2-azaniumylbutanoate	FCXZBWSIAGGPCB	Amino acids and Peptides	Small peptides	Aminoacids	http://www.wikidata.org/entity/Q719725	Saccharomyces cerevisiae	356221.0	['Eukaryota']	['Fungi']	['Ascomycota']	['Unknown']	['Saccharomycetales']	['Saccharomycetaceae']	['Unknown']	['Saccharomyces']	['Saccharomyces cerevisiae']	nan	['Eukaryota']	['Fungi']	['Ascomycota']	nan	nan	['Saccharomycetaceae']	nan	['Saccharomyces']	['Saccharomyces cerevisiae']	6	3	9.385257720947266	1	7	Amino acids and Peptides	0.65	Small peptides	0.65	Aminoacids	0.4
