row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,20240710_CVOL_mapp_01_82_blk.mzML Peak height,20240710_CVOL_mapp_01_82_006.mzML Peak height,20240710_CVOL_mapp_01_82_010.mzML Peak height,20240710_CVOL_mapp_01_82_008.mzML Peak height,20240710_CVOL_mapp_01_82_005.mzML Peak height,20240710_CVOL_mapp_01_82_015.mzML Peak height,20240710_CVOL_mapp_01_82_007.mzML Peak height,20240710_CVOL_mapp_01_82_014.mzML Peak height,20240710_CVOL_mapp_01_82_011.mzML Peak height,20240710_CVOL_mapp_01_82_003.mzML Peak height,20240710_CVOL_mapp_01_82_009.mzML Peak height,20240710_CVOL_mapp_01_82_013.mzML Peak height,20240710_CVOL_mapp_01_82_001.mzML Peak height,20240710_CVOL_mapp_01_82_002.mzML Peak height,20240710_CVOL_mapp_01_82_004.mzML Peak height,20240710_CVOL_mapp_01_82_012.mzML Peak height,20240710_CVOL_mapp_01_82_qc_pre_00.mzML Peak height,20240710_CVOL_mapp_01_82_qc_01.mzML Peak height,20240710_CVOL_mapp_01_82_qc_pre_02.mzML Peak height,20240710_CVOL_mapp_01_82_qc_04.mzML Peak height,20240710_CVOL_mapp_01_82_qc_03.mzML Peak height,20240710_CVOL_mapp_01_82_qc_02.mzML Peak height,20240710_CVOL_mapp_01_82_qc_pre_01.mzML Peak height,
1,218.98365075084195,0.411397,,,,,,,,,,,101797.484,0,0,51741.156,0,0,0,0,0,200482.92,50420.625,0,0,235533.83,123224.55,135494.78,316604.72,304433.5,338809.3,304848.5,307721.53,271478.94,297909.62,
2,216.9507190178962,0.41185388,,,,,,,,,,,1308096.0,0,153887.8,0,0,0,0,0,0,157313.77,0,0,61441.59,168754.33,103859.53,90033.875,210863.47,183049.42,210924.77,216724.69,222049.08,188953.03,199290.6,
3,265.01563896759586,0.4134636,,,,,,,,,,,239741.75,0,98352.7,79226.195,0,89492.664,0,102737.67,96962.57,363340.34,86362.65,175628.97,136172.89,419446.84,194450.08,232074.19,670848.44,574024.8,642650.4,532771.4,523305.12,562496.06,635238.7,
4,241.9995919981127,0.4136186,,,,,,,,,,,644140.2,99878.586,335851.38,272605.06,221360.95,282205.25,139484.97,334164.53,327508.53,1101822.2,288219.25,587073.1,449247.62,1303251.6,668494.44,705142.6,1854495.9,1638438.1,1765050.5,1637095.0,1648250.1,1572692.1,1801461.5,
5,200.973157649136,0.4141958,,,,,,,,,,,110318.65,0,54647.54,0,0,53927.195,0,58084.883,53620.21,184438.72,0,92182.71,68789.66,214078.44,92149.34,118117.18,348373.53,297953.6,349886.06,265713.97,281383.66,293724.5,325669.34,
6,239.9666781944844,0.41588113,,,,,,,,,,,1875722.8,0,163237.1,0,121672.48,0,0,0,0,158167.02,0,60715.63,62479.67,186382.7,104996.695,96415.5,286657.8,244132.33,294493.12,240196.03,233110.11,225535.4,256028.56,
7,198.94021633797502,0.4187065,,,,,,,,,,,1251494.8,0,137917.38,0,102574.73,0,0,0,0,158518.11,0,62150.188,0,183995.16,89255.63,92525.47,241974.58,211085.97,245135.12,215997.27,219724.14,248760.02,262502.84,
8,223.9889654070403,0.4232889,,,,,,,,,,,359996.97,0,143999.39,122899.87,100429.164,140705.44,73780.71,171036.47,158951.2,533480.9,144320.39,258513.28,198859.12,773555.0,287831.62,371717.44,1122367.1,1047635.56,1183451.0,923606.0,954137.8,1097584.0,1319721.5,
9,151.0352914627232,0.4247144,,,,,,,,,,,1426817.8,302410.22,591667.7,499911.78,488639.3,522435.16,365620.8,592800.0,570868.2,1265453.0,527628.0,816606.7,683902.5,1607800.0,772369.1,1106473.9,2432130.2,2063989.5,2157734.8,1722389.4,1647703.5,2165737.8,2399351.0,
10,125.98647213258627,0.42576903,,,,,,,,,,,3193076.5,92140.9,252734.6,96968.92,221632.0,72757.25,61021.02,71408.22,64554.49,163468.08,64500.074,85881.836,83158.14,180204.52,108721.945,131468.17,275843.4,234801.2,247729.8,210974.34,189156.73,249809.95,260319.94,
