id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications	featureId
1_mapp_batch_00114_sirius_1	C4H8N2O4S	[M + K]+	C4H8N2O4S	Amino acids and Peptides	0.3302631676197052	Small peptides	0.3177168369293213	Aminoacids	0.23045876622200012	Alpha amino acids and derivatives	0.5553951859474182	Amino acids and derivatives	0.5354059934616089	Amino acids, peptides, and analogues	0.5117859244346619	Carboxylic acids and derivatives	0.5866817235946655	Organic acids and derivatives	0.9760751128196716	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Sulfonyls; Organosulfonic acids; Carbonyl compounds; Alkanesulfonic acids and derivatives; Alkanesulfonic acids; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	1
2_mapp_batch_00114_sirius_2	C6H4ClFO2S	[M + Na]+	C6H4ClFO2S	Shikimates and Phenylpropanoids	0.5930843949317932	Phenolic acids (C6-C1)	0.7809221744537354	Simple phenolic acids	0.7154455780982971	Aryl-aldehydes	0.8706875443458557	Aldehydes	0.6960602402687073	Carbonyl compounds	0.5816612243652344	Organooxygen compounds	0.9957059025764465	Organic oxygen compounds	1.0	Organic compounds; Thiophenes; Aldehydes; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Organochlorides; Organofluorides; Carbonyl compounds; Aryl halides; Vinyl halides; Aryl-aldehydes; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	2
3_mapp_batch_00114_sirius_3	C8H10N4O2S	[M + K]+	C8H10N4O2S	Alkaloids	0.9781162738800049	Histidine alkaloids	0.6445134282112122	Imidazole alkaloids	0.5978482365608215	Aminopyrimidines and derivatives	0.5708451867103577	Aminopyrimidines and derivatives	0.5708451867103577	Pyrimidines and pyrimidine derivatives	0.98011314868927	Diazines	0.989825963973999	Organoheterocyclic compounds	0.999955415725708	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyls; Aminopyrimidines and derivatives; Diazines; Organosulfonamides; Amines; Aminosulfonyl compounds; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	3
4_mapp_batch_00114_sirius_4	C6H9N3O3S	[M + K]+	C6H9N3O3S	Amino acids and Peptides	0.5296509861946106	Small peptides	0.19998010993003845	Aminoacids	0.20875202119350433	Azoles	0.835453987121582					Azoles	0.835453987121582	Organoheterocyclic compounds	0.9725836515426636	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	4
5_mapp_batch_00114_sirius_5	C4H6N2O3S	[M + K]+	C4H6N2O3S	Alkaloids	0.8107889890670776	Pseudoalkaloids	0.4286307096481323	Aminoacids	0.15029606223106384	Sulfonyls	0.5787755846977234					Sulfonyls	0.5787755846977234	Organosulfur compounds	0.6551764607429504	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	5
6_mapp_batch_00114_sirius_6	C7H4ClNO5	[M + Na]+	C7H4ClNO5	Alkaloids	0.3292500078678131	Phenolic acids (C6-C1)	0.8313648104667664	Simple phenolic acids	0.7444495558738708	2-halobenzoic acids	0.5600447654724121	Halobenzoic acids and derivatives	0.6637991070747375	Benzoic acids and derivatives	0.9388909935951233	Benzene and substituted derivatives	0.9485201835632324	Benzenoids	0.9997121691703796	Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Anilides; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; Vinyl halides; 1-carboxy-2-haloaromatic compounds; Halobenzoic acids and derivatives; Halobenzoic acids; 2-halobenzoic acids and derivatives; 2-halobenzoic acids; N-arylamides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	6
7_mapp_batch_00114_sirius_7	C3H3ClN2O2S2	[M + H]+	C3H3ClN2O2S2	Alkaloids	0.7585930228233337	Small peptides	0.23297210037708282	Aminoacids	0.05228253826498985	Azoles	0.5845307111740112					Azoles	0.5845307111740112	Organoheterocyclic compounds	0.9955096244812012	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyls; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	7
8_mapp_batch_00114_sirius_8	C6H7N3O2S	[M + K]+	C6H7N3O2S	Alkaloids	0.7329747080802917	Pseudoalkaloids	0.23815511167049408	Purine alkaloids	0.08397331833839417	Pyrimidines and pyrimidine derivatives	0.8454918265342712			Pyrimidines and pyrimidine derivatives	0.8454918265342712	Diazines	0.8659257292747498	Organoheterocyclic compounds	0.9990631937980652	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organonitrogen compounds; Azoles; Sulfonyls; Diazines; Amines; Primary amines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	8
9_mapp_batch_00114_sirius_9	C3H6N2O5	[M + H]+	C3H6N2O5	Amino acids and Peptides	0.9432759881019592	Small peptides	0.9184055328369141	Aminoacids	0.7015758752822876	Alpha amino acids	0.2000368982553482	Amino acids and derivatives	0.5747233629226685	Amino acids, peptides, and analogues	0.5892157554626465	Carboxylic acids and derivatives	0.9170690178871155	Organic acids and derivatives	0.9602576494216919	Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	9
10_mapp_batch_00114_sirius_10	C3H5Cl2N	[M + H]+	C3H5Cl2N	Fatty acids	0.7288686633110046	Fatty acyls	0.8741782903671265	Halogenated hydrocarbons	0.9858367443084717	Secondary carboxylic acid amides	5.9426893130876124E-5	Carboxylic acid amides	2.997786505147815E-4	Carboxylic acid derivatives	0.002441731048747897	Carboxylic acids and derivatives	0.0014696241123601794	Organic acids and derivatives	0.006138680037111044	Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	10
