"canopus_id"	"canopus_molecularFormula"	"canopus_adduct"	"canopus_precursorFormula"	"canopus_NPC#pathway"	"canopus_NPC#pathway Probability"	"canopus_NPC#superclass"	"canopus_NPC#superclass Probability"	"canopus_NPC#class"	"canopus_NPC#class Probability"	"canopus_ClassyFire#most specific class"	"canopus_ClassyFire#most specific class Probability"	"canopus_ClassyFire#level 5"	"canopus_ClassyFire#level 5 Probability"	"canopus_ClassyFire#subclass"	"canopus_ClassyFire#subclass Probability"	"canopus_ClassyFire#class"	"canopus_ClassyFire#class Probability"	"canopus_ClassyFire#superclass"	"canopus_ClassyFire#superclass probability"	"canopus_ClassyFire#all classifications"	"canopus_featureId"	"feature_id"
"1_mapp_batch_00114_sirius_1"	"C7H4F4O"	"[M + K]+"	"C7H4F4O"	"Shikimates and Phenylpropanoids"	0.489122867584229	"Pseudoalkaloids"	0.238105818629265	"Simple phenolic acids"	0.0834339559078217	"Benzoyl derivatives"	0.607031226158142	NA	NA	"Benzoyl derivatives"	0.607031226158142	"Benzene and substituted derivatives"	0.968406677246094	"Benzenoids"	0.99580705165863	"Organic compounds; Halobenzenes; Organohalogen compounds; Benzoyl derivatives; Organooxygen compounds; Aryl fluorides; Fluorobenzenes; Organofluorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	1	1
"2_mapp_batch_00114_sirius_2"	"C6H4ClFO2S"	"[M + Na]+"	"C6H4ClFO2S"	"Shikimates and Phenylpropanoids"	0.593084394931793	"Phenolic acids (C6-C1)"	0.780922174453735	"Simple phenolic acids"	0.715445578098297	"Aryl-aldehydes"	0.870687544345856	"Aldehydes"	0.696060240268707	"Carbonyl compounds"	0.581661224365234	"Organooxygen compounds"	0.995705902576446	"Organic oxygen compounds"	1	"Organic compounds; Thiophenes; Aldehydes; Organic acids and derivatives; Organohalogen compounds; Organooxygen compounds; Aryl chlorides; Aryl fluorides; Organochlorides; Organofluorides; Carbonyl compounds; Aryl halides; Vinyl halides; Aryl-aldehydes; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities"	2	2
"3_mapp_batch_00114_sirius_3"	"C8H10N4O2S"	"[M + K]+"	"C8H10N4O2S"	"Alkaloids"	0.978116273880005	"Histidine alkaloids"	0.644513428211212	"Imidazole alkaloids"	0.597848236560822	"Aminopyrimidines and derivatives"	0.570845186710358	"Aminopyrimidines and derivatives"	0.570845186710358	"Pyrimidines and pyrimidine derivatives"	0.98011314868927	"Diazines"	0.989825963973999	"Organoheterocyclic compounds"	0.999955415725708	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Pyrimidines and pyrimidine derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyls; Aminopyrimidines and derivatives; Diazines; Organosulfonamides; Amines; Aminosulfonyl compounds; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	3	3
"4_mapp_batch_00114_sirius_4"	"C6H9N3O3S"	"[M + K]+"	"C6H9N3O3S"	"Amino acids and Peptides"	0.529650986194611	"Small peptides"	0.199980109930038	"Aminoacids"	0.208752021193504	"Azoles"	0.835453987121582	NA	NA	NA	NA	"Azoles"	0.835453987121582	"Organoheterocyclic compounds"	0.972583651542664	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	4	4
"5_mapp_batch_00114_sirius_5"	"C4H6N2O3S"	"[M + K]+"	"C4H6N2O3S"	"Alkaloids"	0.810788989067078	"Pseudoalkaloids"	0.428630709648132	"Aminoacids"	0.150296062231064	"Sulfonyls"	0.578775584697723	NA	NA	NA	NA	"Sulfonyls"	0.578775584697723	"Organosulfur compounds"	0.65517646074295	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	5	5
"6_mapp_batch_00114_sirius_6"	"C7H4ClNO5"	"[M + Na]+"	"C7H4ClNO5"	"Alkaloids"	0.329250007867813	"Phenolic acids (C6-C1)"	0.831364810466766	"Simple phenolic acids"	0.744449555873871	"2-halobenzoic acids"	0.560044765472412	"Halobenzoic acids and derivatives"	0.663799107074738	"Benzoic acids and derivatives"	0.938890993595123	"Benzene and substituted derivatives"	0.948520183563232	"Benzenoids"	0.99971216917038	"Organic compounds; Halobenzenes; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Anilides; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Carboxylic acid derivatives; Chlorobenzenes; Monocarboxylic acids and derivatives; Carboxylic acids; Organochlorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Aryl halides; Vinyl halides; 1-carboxy-2-haloaromatic compounds; Halobenzoic acids and derivatives; Halobenzoic acids; 2-halobenzoic acids and derivatives; 2-halobenzoic acids; N-arylamides; Vinylogous halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	6	6
"7_mapp_batch_00114_sirius_7"	"C3H3ClN2O2S2"	"[M + H]+"	"C3H3ClN2O2S2"	"Alkaloids"	0.758593022823334	"Small peptides"	0.232972100377083	"Aminoacids"	0.0522825382649899	"Azoles"	0.584530711174011	NA	NA	NA	NA	"Azoles"	0.584530711174011	"Organoheterocyclic compounds"	0.995509624481201	"Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Azoles; Sulfonyls; Aminosulfonyl compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	7	7
"8_mapp_batch_00114_sirius_8"	"C8H5ClFNO2"	"[M + Na]+"	"C8H5ClFNO2"	"Shikimates and Phenylpropanoids"	0.46704176068306	"Anthranilic acid alkaloids"	0.508023977279663	"Anthranillic acid derivatives"	0.052548710256815	"Anilides"	0.913290500640869	NA	NA	"Anilides"	0.913290500640869	"Benzene and substituted derivatives"	0.985571503639221	"Benzenoids"	0.999893426895142	"Organic compounds; Halobenzenes; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Anilides; Organooxygen compounds; Carboxylic acid amides; Aryl chlorides; Aryl fluorides; Carboxylic acid derivatives; Chlorobenzenes; Fluorobenzenes; Organochlorides; Organofluorides; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Aryl halides; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	8	8
"9_mapp_batch_00114_sirius_9"	"C3H6N2O5"	"[M + H]+"	"C3H6N2O5"	"Amino acids and Peptides"	0.943275988101959	"Small peptides"	0.918405532836914	"Aminoacids"	0.701575875282288	"Alpha amino acids"	0.200036898255348	"Amino acids and derivatives"	0.574723362922668	"Amino acids, peptides, and analogues"	0.589215755462646	"Carboxylic acids and derivatives"	0.917069017887116	"Organic acids and derivatives"	0.960257649421692	"Organic compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Primary amines; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities"	9	9
"10_mapp_batch_00114_sirius_10"	"C3H5Cl2N"	"[M + H]+"	"C3H5Cl2N"	"Fatty acids"	0.728868663311005	"Fatty acyls"	0.874178290367126	"Halogenated hydrocarbons"	0.985836744308472	"Secondary carboxylic acid amides"	5.94268931308761e-05	"Carboxylic acid amides"	0.000299778650514781	"Carboxylic acid derivatives"	0.00244173104874789	"Carboxylic acids and derivatives"	0.00146962411236017	"Organic acids and derivatives"	0.00613868003711104	"Organic compounds; Organohalogen compounds; Organonitrogen compounds; Alkyl chlorides; Organochlorides; Alkyl halides; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities"	10	10
