"attribute_sample_group"	"filename"	"mapp_sample_id"	"sample_id"	"sample_type"	"source_taxon"	"source_taxon_qid"	"strain"
"WT"	"20240710_CVOL_mapp_01_82_001.mzML"	"mapp_01_82_001"	"WT_1"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"WT"	"20240710_CVOL_mapp_01_82_002.mzML"	"mapp_01_82_002"	"WT_2"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"WT"	"20240710_CVOL_mapp_01_82_003.mzML"	"mapp_01_82_003"	"WT_3"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"WT"	"20240710_CVOL_mapp_01_82_004.mzML"	"mapp_01_82_004"	"WT_4"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"sDelta"	"20240710_CVOL_mapp_01_82_005.mzML"	"mapp_01_82_005"	"sDelta_1"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"sDelta"	"20240710_CVOL_mapp_01_82_006.mzML"	"mapp_01_82_006"	"sDelta_2"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"sDelta"	"20240710_CVOL_mapp_01_82_007.mzML"	"mapp_01_82_007"	"sDelta_3"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"sDelta"	"20240710_CVOL_mapp_01_82_008.mzML"	"mapp_01_82_008"	"sDelta_4"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"pDelta"	"20240710_CVOL_mapp_01_82_009.mzML"	"mapp_01_82_009"	"pDelta_1"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"pDelta"	"20240710_CVOL_mapp_01_82_010.mzML"	"mapp_01_82_010"	"pDelta_2"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"pDelta"	"20240710_CVOL_mapp_01_82_011.mzML"	"mapp_01_82_011"	"pDelta_3"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"pDelta"	"20240710_CVOL_mapp_01_82_012.mzML"	"mapp_01_82_012"	"pDelta_4"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"psDelta"	"20240710_CVOL_mapp_01_82_013.mzML"	"mapp_01_82_013"	"psDelta_1"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"psDelta"	"20240710_CVOL_mapp_01_82_014.mzML"	"mapp_01_82_014"	"psDelta_2"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
"psDelta"	"20240710_CVOL_mapp_01_82_015.mzML"	"mapp_01_82_015"	"psDelta_3"	"sample"	"Saccharomyces cerevisiae"	"Q719725"	"BY4742"
