"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"1_218.98_0.4",1,218.983650750842,0.411397,"C7H4F4O"
"10_125.99_0.4",10,125.986472132586,0.42576903,"C3H5Cl2N"
"100_130.05_0.6",100,130.05017311371,0.5707168,"C5H9NO4"
"101_277.14_0.6",101,277.13945870742,0.5707753,"C11H20N2O6"
"102_292.2_0.6",102,292.197926975585,0.5710357,NA
"103_148.07_0.6",103,148.072910551266,0.57277817,"C7H11NO"
"104_148.06_0.6",104,148.060493257088,0.5750869,"C5H9NO4"
"105_149.06_0.6",105,149.063799446487,0.5750997,NA
"107_399.14_0.6",107,399.144736891685,0.57580495,"C15H22N6O5S"
"108_219.03_0.6",108,219.026614079009,0.57734925,NA
"109_184.07_0.6",109,184.07339934265,0.5782038,"C5H14NO4P"
"11_301.07_0.4",11,301.07316112746,0.42861518,"C16H13ClN2O2"
"110_309.14_0.6",110,309.13795403108,0.57984585,"C14H22N4O3S"
"111_258.11_0.6",111,258.11023739388,0.58061004,"C8H20NO6P"
"112_239.04_0.6",112,239.042835780754,0.58153385,"C8H12N2O4"
"113_381.08_0.6",113,381.079346659918,0.58925194,NA
"114_217.13_0.6",114,217.129604757584,0.59223574,"C8H16N4O3"
"115_203.05_0.6",115,203.052664086245,0.59369534,NA
"116_365.11_0.6",116,365.10570898724,0.5976796,"C12H22O11"
"117_133.06_0.6",117,133.059764303599,0.6025892,"C4H8N2O3"
"118_144.05_0.6",118,144.047868812794,0.60335463,"C6H9NOS"
"119_335.06_0.6",119,335.063733514385,0.60501087,"C11H15N2O8P"
"120_122.07_0.6",120,122.071408045445,0.60587186,"C6H9N3O"
"121_173.09_0.6",121,173.09223414031,0.60597533,"C7H12N2O3"
"122_180.09_0.6",122,180.086695265937,0.6089297,"C6H13NO5"
"123_198.1_0.6",123,198.097239700699,0.6121948,"C9H12BFO3"
"124_265.11_0.6",124,265.111837128887,0.616779,"C12H16N4OS"
"125_146.17_0.6",125,146.165316561689,0.61913854,"C7H19N3"
"126_133.56_0.6",126,133.561582004922,0.619548,NA
"127_360.15_0.6",127,360.150153343503,0.6266896,"C17H21N5O2S"
"128_227.08_0.6",128,227.079340489107,0.63621825,NA
"129_211.11_0.6",129,211.105468471528,0.6402612,NA
"13_151.95_0.4",13,151.949763663312,0.42971095,NA
"130_170.08_0.6",130,170.081243593018,0.64966714,"C8H11NO3"
"131_162.08_0.7",131,162.076133068051,0.6511234,"C6H11NO4"
"132_249.11_0.7",132,249.108220849736,0.6528377,"C9H16N2O6"
"133_193.07_0.7",133,193.0681512957,0.66081923,"C5H12BNO4S"
"134_664.12_0.7",134,664.116896785118,0.6612634,"C21H27N7O14P2"
"135_189.12_0.7",135,189.123440035802,0.661932,"C8H16N2O3"
"136_256.08_0.7",136,256.081612855983,0.6636678,"C11H13NO6"
"137_385.13_0.7",137,385.128876767751,0.66370046,"C14H20N6O5S"
"138_386.03_0.7",138,386.026292241583,0.66483057,"C10H14N5O7P"
"139_269.16_0.7",139,269.160908220475,0.6675923,"C12H20N4O3"
"14_149.95_0.4",14,149.95286117831,0.43005347,NA
"140_348.07_0.7",140,348.070441133564,0.67147744,"C10H16N5O8P"
"141_208.06_0.7",141,208.063841770405,0.6730146,"C7H13NO4S"
"142_332.56_0.7",142,332.561935206955,0.6742624,NA
"143_133.06_0.7",143,133.0598133947,0.6844863,"C4H8N2O3"
"146_225.12_0.7",146,225.123318323299,0.6910378,"C11H16N2O3"
"148_298.99_0.7",148,298.993202549004,0.69696987,"C6H13O9P"
"149_174.9_0.7",149,174.896093940285,0.6999878,NA
"15_215.09_0.4",15,215.087741240358,0.43442538,"C8H11BFNO4"
"150_213.12_0.7",150,213.123484161822,0.70026994,"C10H16N2O3"
"151_123.06_0.7",151,123.055598956531,0.7200533,"C6H6N2O"
"152_133.03_0.7",152,133.032129394465,0.7381499,"C5H8O2S"
"153_150.06_0.7",153,150.058581693498,0.7381499,"C5H11NO2S"
"154_308.09_0.8",154,308.09146916855,0.750326,"C10H17N3O6S"
"155_346.05_0.8",155,346.047447537927,0.7525022,"C10H17N3O6S"
