"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","sDelta_vs_WT_p_value","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","sDelta_vs_WT_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","sDelta","sDelta.pval","WT","WT.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
1,"1_218.98_0.4","NA_[1_218.98_0.4]",218.983650750842,0.411397,0.0490481772176638,1.30937712771359,1.54785289851945,0.630268370280419,"2,3,5,6-tetrafluorobenyl alcohol",NA,NA,0.122174781113342,-115.749457379433,12.1821135640188,0.104020100502513,"InChI=1S/C7H4F4O/c8-4-1-5(9)7(11)3(2-12)6(4)10/h1,12H,2H2","AGWVQASYTKCTCC","C7H4F4O","[M + K]+","C1=C(C(=C(C(=C1F)F)CO)F)F","Shikimates and Phenylpropanoids","Simple phenolic acids","Pseudoalkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.728542914171657,0,0.720558882235529,0,0.664670658682635,0.0135,0.425149700598802
2,"2_216.95_0.4","NA_[2_216.95_0.4]",216.950719017896,0.41185388,0.026418394919369,1.57809357199161,1.6132334717168,0.689955244515538,"chloro(2-fluorophenyl)sulfone",NA,NA,0.0371308260427535,-166.440158649928,13.4431306910548,1,"InChI=1S/C6H4ClFO2S/c7-11(9,10)6-4-2-1-3-5(6)8/h1-4H","ZSZKAQCISWFDCQ","C6H4ClFO2S","[M + Na]+","C1=CC=C(C(=C1)F)S(=O)(=O)Cl","Shikimates and Phenylpropanoids","Simple phenolic acids","Phenolic acids (C6-C1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.169660678642715,1.00100150250438,0.177644710578842,1.00100150250438,0.201596806387226,0.0235,0.0778443113772455
3,"3_265.02_0.4","NA_[3_265.02_0.4]",265.015638967596,0.4134636,0.0171660646381353,1.76532925648937,1.58671060362389,0.666039022446094,"6-(Propylsulfonyl)purine",NA,NA,0.33416693791003,-151.000935959454,9.60614909937089,0.980402010050251,"InChI=1S/C8H10N4O2S/c1-2-3-15(13,14)8-6-7(10-4-9-6)11-5-12-8/h4-5H,2-3H2,1H3,(H,9,10,11,12)","KZBFHFNSOGTTKK","C8H10N4O2S","[M + K]+","CCCS(=O)(=O)C1=NC=NC2=C1NC=N2","Alkaloids","Imidazole alkaloids","Histidine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34406227991274,0.0538922155688623,1.41705050316284,0.0279441117764471,1.40275209380409,0.0379241516966068,0.022,0.159680638722555
4,"4_242_0.4","NA_[4_242_0.4]",241.999591998113,0.4136186,0.0128566079362513,1.8908735997546,1.54193117747652,0.624738373470103,"1-(2-methylsulfinylethyl)-2-nitroimidazole",NA,NA,0.0684861148476962,-197.418547581411,21.8496233883134,0.95929648241206,"InChI=1S/C6H9N3O3S/c1-13(12)5-4-8-3-2-7-6(8)9(10)11/h2-3H,4-5H2,1H3","QLUPQWGVSUSFPS","C6H9N3O3S","[M + K]+","CS(=O)CCN1C=CN=C1[N+](=O)[O-]","Amino acids and Peptides","Aminoacids","Small peptides","165.078978592","InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)","COLNVLDHVKWLRT-UHFFFAOYSA-N","COLNVLDHVKWLRT","NC(Cc1ccccc1)C(=O)O","C9H11NO2","L-Phenylalanine, 23","http://www.wikidata.org/entity/Q27103475","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Saccharomyces cerevisiae","['Eukaryota']","['Fungi']","['Ascomycota']","['Unknown']","['Saccharomycetales']","['Saccharomycetaceae']","['Unknown']","['Saccharomyces']","['Saccharomyces cerevisiae']","nan","356221.0","http://www.wikidata.org/entity/Q719725",6,0,0.750499001996008,0,0.754491017964072,0,0.710578842315369,0.0285,0.17564870259481
5,"5_200.97_0.4","NA_[5_200.97_0.4]",200.973157649136,0.4141958,0.0431673539239541,1.36484457194707,1.54755992887413,0.629995278528673,"N-Nitrosothioproline",NA,NA,0.0431188981253828,-366.84704448634,22.4572205677764,1,"InChI=1S/C4H6N2O3S/c7-4(8)3-1-10-2-6(3)5-9/h3H,1-2H2,(H,7,8)","LGLMHMRNPVACGS","C4H6N2O3S","[M + K]+","C1C(N(CS1)N=O)C(=O)O","Alkaloids","Aminoacids","Pseudoalkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.854291417165669,0,0.858283433133733,0,0.820359281437126,0.0225,0.0898203592814371
8,"8_223.99_0.4","NA_[8_223.99_0.4]",223.98896540704,0.4232889,0.0322732927326587,1.49115672276864,1.47568876141039,0.561388473621714,"Maybridge1_007225",NA,NA,0.0318064890146002,-196.306044228177,27.2422696419048,0.37286432160804,"InChI=1S/C8H5ClFNO2/c9-7-2-1-3-8(10)6(7)4-5-11(12)13/h1-5H","JCIAIKBVPVMTBD","C8H5ClFNO2","[M + Na]+","C1=CC(=C(C(=C1)Cl)C=C[N+](=O)[O-])F","Shikimates and Phenylpropanoids","Anthranillic acid derivatives","Anthranilic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.193612774451098,1.00100150250438,0.217564870259481,1.00100150250438,0.227544910179641,0.0275,0.177644710578842
9,"9_151.04_0.4","NA_[9_151.04_0.4]",151.035291462723,0.4247144,0.0237613328972617,1.62412920116183,1.47154314892394,0.55732984593166,"2,2-Dinitropropanol",NA,NA,0.106600555060285,-123.517317393036,17.1871145864791,1,"InChI=1S/C3H6N2O5/c1-3(2-6,4(7)8)5(9)10/h6H,2H2,1H3","IPLRZPREFHIGIB","C3H6N2O5","[M + H]+","CC(CO)([N+](=O)[O-])[N+](=O)[O-]","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.173652694610778,1.00100150250438,0.18562874251497,1.00100150250438,0.193612774451098,0.0155,0.487025948103792
11,"11_301.07_0.4","NA_[11_301.07_0.4]",301.07316112746,0.42861518,0.00115068383398561,2.93904398828808,1.63164790995976,0.706329774615325,"Crisonar",NA,NA,0.228440142081424,-160.033186783212,21.6894610833066,0.93819095477387,"InChI=1S/C16H13ClN2O2/c1-19-13-8-7-11(17)9-12(13)14(18-15(20)16(19)21)10-5-3-2-4-6-10/h2-9,15,20H,1H3","SEQDDYPDSLOBDC","C16H13ClN2O2","[M + H]+","CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3","Alkaloids","Benzodiazepine alkaloids","Anthranilic acid alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.732534930139721,0,0.744510978043912,0,0.684630738522954,0.0215,0.291417165668663
13,"13_151.95_0.4","NA_[13_151.95_0.4]",151.949763663312,0.42971095,0.0482428228648751,1.31656728795808,1.39496512023318,0.480229049297668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.770459081836327,0,0.758483033932136,0,0.728542914171657,0.023,0.277445109780439
14,"14_149.95_0.4","NA_[14_149.95_0.4]",149.95286117831,0.43005347,0.0493356213870046,1.30683939744549,1.41762297415514,0.503473889670858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fatty acids","Simple phenolic acids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.672654690618762,0,0.69061876247505,0,0.626746506986028,0,1
