"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","sDelta_vs_WT_p_value","sDelta_vs_WT_p_value_minus_log10","sDelta_vs_WT_fold_change","sDelta_vs_WT_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescore","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","sDelta","sDelta.pval","WT","WT.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
3,"3_265.02_0.4","NA_[3_265.02_0.4]",265.015638967596,0.4134636,0.0171972053819369,1.76454212203508,1.58670407433865,0.666033085770061,"6-(Propylsulfonyl)purine",NA,NA,0.33416693791003,-151.000935959454,9.60614909937089,0.980402010050251,"InChI=1S/C8H10N4O2S/c1-2-3-15(13,14)8-6-7(10-4-9-6)11-5-12-8/h4-5H,2-3H2,1H3,(H,9,10,11,12)","KZBFHFNSOGTTKK","C8H10N4O2S","[M + K]+","CCCS(=O)(=O)C1=NC=NC2=C1NC=N2","Alkaloids","Imidazole alkaloids","Histidine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73727046020804,0.137724550898204,1.51099471303875,0.17564870259481,1.63736530665978,0.183632734530938,0.0505,0.604790419161677
14,"14_149.95_0.4","NA_[14_149.95_0.4]",149.95286117831,0.43005347,0.0493356213870046,1.30683939744549,1.41762297415514,0.503473889670858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fatty acids","Simple phenolic acids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.00100150250438,0.291417165668663,1.00100150250438,0.287425149700599,1.00100150250438,0.263473053892216,0.0255,0.988023952095808
31,"31_147.11_0.4","NA_[31_147.11_0.4]",147.112904147316,0.448894,0.0103924532088084,1.98328192219361,1.57444427410701,0.65484269561736,"lysinium",NA,NA,0.900126992152541,-0.789250011972739,28.6997592071315,1,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)","KDXKERNSBIXSRK","C6H14N2O2","[M + H]+","C(CCN)CC(C(=O)O)N","Amino acids and Peptides","Aminoacids","Small peptides","129.078978592|146.105527688","InChI=1S/C6H11NO2/c8-6(9)5-3-1-2-4-7-5/h5,7H,1-4H2,(H,8,9)|InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)","HXEACLLIILLPRG-UHFFFAOYSA-N|KDXKERNSBIXSRK-UHFFFAOYSA-N","HXEACLLIILLPRG|KDXKERNSBIXSRK","O=C(O)C1CCCCN1|NCCCCC(N)C(=O)O","C6H11NO2|C6H14N2O2","Piperidine-2-carboxylate|2-Amino-6-azaniumylhexanoate","http://www.wikidata.org/entity/Q7197255|http://www.wikidata.org/entity/Q178430","Amino acids and Peptides|Amino acids and Peptides","Small peptides|Small peptides","Amino acids and Peptides","Small peptides","Aminoacids","Saccharomyces cerevisiae|Saccharomyces cerevisiae","['Eukaryota']|['Eukaryota']","['Fungi']|['Fungi']","['Ascomycota']|['Ascomycota']","['Unknown']|['Unknown']","['Saccharomycetales']|['Saccharomycetales']","['Saccharomycetaceae']|['Saccharomycetaceae']","['Unknown']|['Unknown']","['Saccharomyces']|['Saccharomyces']","['Saccharomyces cerevisiae']|['Saccharomyces cerevisiae']","nan|nan","356221.0|356221.0","http://www.wikidata.org/entity/Q719725|http://www.wikidata.org/entity/Q719725",NA,1.67131567616219,0.161676646706587,1.51099471303875,0.193612774451098,1.72005229038445,0.159680638722555,0.085,0.445109780439122
33,"33_148.11_0.5","NA_[33_148.11_0.5]",148.109906396487,0.45132676,0.00756124424997474,2.12140673274813,1.59001725892474,0.66904242540271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9042342233658,0.147704590818363,1.94881009766875,0.131736526946108,1.9715804023779,0.141716566866267,0.0755,0.449101796407186
42,"42_185.07_0.5","NA_[42_185.07_0.5]",185.068704313257,0.4799024,0.0131289726789432,1.88176925542776,1.54593958253032,0.628483937835134,"L-Ornithine, N2-methyl-",NA,NA,0.333300901773217,-51.7400484737202,13.2109449720277,1,"InChI=1S/C6H14N2O2/c1-8-5(6(9)10)3-2-4-7/h5,8H,2-4,7H2,1H3,(H,9,10)","OZRWQPFBXDVLAH","C6H14N2O2","[M + K]+","CNC(CCCN)C(=O)O","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38942503594182,0.209580838323353,1.34406227991274,0.251497005988024,1.41705050316284,0.207584830339321,0.0855,0.449101796407186
44,"44_359_0.5","NA_[44_359_0.5]",358.999235760419,0.4821121,0.00107784133153462,2.96744516671026,1.58357856884331,0.663188448085163,"Sufosfamide",NA,NA,NA,-220.280341334249,14.3523672364595,0.988944723618091,"InChI=1S/C8H18ClN2O5PS/c1-18(13,14)16-8-4-10-17(12)11(6-3-9)5-2-7-15-17/h2-8H2,1H3,(H,10,12)","ZSZKJARKHWCBJK","C8H18ClN2O5PS","[M + K]+","CS(=O)(=O)OCCNP1(=O)N(CCCO1)CCCl","Alkaloids","Wax monoesters","Ornithine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9042342233658,0.115768463073852,1.84453388024833,0.119760479041916,1.98770612744662,0.117764471057884,0.0615,0.792415169660679
45,"45_475.07_0.5","NA_[45_475.07_0.5]",475.073371415522,0.48239952,0.00404067295813436,2.3935462988336,1.56639916355473,0.647451899666247,"null",NA,NA,0.211557894623777,-311.42033699529,7.54282689604791,0.0261306532663317,"InChI=1S/C13H26O13P2/c1-4-5-13(16)26-12(8-22-10(2)14)9-25-28(19,20)24-7-11(15)6-23-27(17,18)21-3/h11-12,15H,4-9H2,1-3H3,(H,17,18)(H,19,20)","SXVMEGRESKCXKX","C13H26O13P2","[M + Na]+","CCCC(=O)OC(COC(=O)C)COP(=O)(O)OCC(COP(=O)(O)OC)O","Carbohydrates","Acyclic monoterpenoids","Saccharides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9042342233658,0.0898203592814371,1.8966081045272,0.0878243512974052,1.99468790562554,0.0818363273453094,0.084,0.19560878243513
51,"51_190.91_0.5","NA_[51_190.91_0.5]",190.911836501656,0.4897066,0.00037602750847935,3.42478038288141,1.64318378215539,0.716493847772001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1932960518294,0.0578842315369262,2.14793159805948,0.0598802395209581,2.20148283116099,0.0718562874251497,0.1085,0.325349301397206
53,"53_276.87_0.5","NA_[53_276.87_0.5]",276.871264091591,0.4901592,6.03057698954182e-05,4.21964113373279,1.68330256620167,0.751294518037976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.65488073042601,0.00998003992015968,2.80729597353258,0.0119760479041916,2.75957578685672,0.0119760479041916,0.105,0.439121756487026
56,"56_392.95_0.5","NA_[56_392.95_0.5]",392.94548011304,0.4901592,0.00135468734754597,2.86816092538238,1.65339730394084,0.725433439422944,"2-(2,4-dibromophenoxy)-N-(propan-2-ylcarbamoyl)acetamide",NA,NA,0.0490437492543715,-311.07708487193,3.84803691996246,0.997989949748744,"InChI=1S/C12H14Br2N2O3/c1-7(2)15-12(18)16-11(17)6-19-10-4-3-8(13)5-9(10)14/h3-5,7H,6H2,1-2H3,(H2,15,16,17,18)","DXUSESKZVPFYSV","C12H14Br2N2O3","[M + H]+","CC(C)NC(=O)NC(=O)COC1=C(C=C(C=C1)Br)Br","Alkaloids","Polyamines","Ornithine alkaloids",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88136606782406,0.00399201596806387,2.86337963710694,0.00399201596806387,2.95224652022598,0.00399201596806387,0.0955,0.255489021956088
