cluster index	parent mass	RTMean	ATTRIBUTE_group:GNPSGROUP:nan	ATTRIBUTE_group:GNPSGROUP:A	ATTRIBUTE_group:GNPSGROUP:B	ATTRIBUTE_group:GNPSGROUP:C	ATTRIBUTE_group:GNPSGROUP:D
1	60.08106653684386	1.3758167		0.0	0.0	0.0	19067.68
2	87.044518192311	1.3758167		0.0	0.0	0.0	364159.7
3	146.11805988635302	1.376075		0.0	0.0	15143.0645	1049916.375
4	752.5190807999918	1.3763334		0.0	0.0	0.0	13416.65325
5	244.26394202578263	1.3764917		23545.9325	0.0	14338.6085	0.0
6	246.2431300359808	1.4046167		43744.490000000005	17171.1375	0.0	0.0
7	123.0554525265666	1.4146345		98284.726	72657.9225	79121.63249999999	78794.54400000001
8	230.248254176934	1.4188		62097.2025	0.0	0.0	25630.209
9	272.2588538939157	1.4247203		64528.3475	22068.2225	34680.682499999995	55887.4365
10	304.28530506403064	1.4402077		145510.6575	102932.25275	86700.99675	156356.359
11	134.04494599588105	1.4981667		0.0	30141.99	0.0	0.0
12	316.21223589243704	1.499689		40215.4795	63147.125	0.0	0.0
13	253.1285391729079	1.5191833		22360.525	0.0	0.0	0.0
14	227.1759367810385	1.5551667		0.0	0.0	0.0	30746.522
15	214.1442780258884	1.5766667		0.0	0.0	0.0	35325.265
16	254.1372882110862	1.5766667		0.0	0.0	0.0	13038.96575
17	290.26963975914634	1.5791583		166957.475	0.0	0.0	18381.215
18	139.0503865249716	1.5979083		0.0	33860.7775	15674.30175	65664.22
19	121.03985133313608	1.5979209		86634.03625	217576.1225	158021.465	289654.453
20	93.04508184480692	1.6080667		0.0	0.0	0.0	12648.805
21	202.21697164640852	1.6114666		65388.4	0.0	0.0	0.0
22	786.6011987014069	1.625515		47032.193	14716.59575	122852.95124999998	80051.1875
23	132.1022562672305	1.6296176		115099.0125	68075.97575	101593.68900000001	176799.34749999997
24	218.21189698254668	1.653119		96894.0375	42715.21875	22330.0215	25437.1005
25	784.585975645923	1.65732		17647.8025	0.0	56920.6985	15792.51175
26	761.5880671441289	1.6964215		134822.12	76240.738	172016.355	95890.115
27	760.5835747663218	1.6966531		292395.5525	172974.24500000002	392516.02499999997	271718.6225
28	758.5702894044299	1.699024		396192.14999999997	301631.1725	792199.5875	614420.8099999999
29	359.21812992461594	1.7023749		0.0	31655.228000000003	0.0	0.0
30	76.07592002135213	1.7049834		12582.36125	0.0	0.0	0.0
31	188.1283332321951	1.7049834		19321.6925	0.0	0.0	0.0
32	206.1390948621238	1.7052166		275316.02	66496.27500000001	162775.22999999998	55421.9685
33	146.06046091040704	1.7243556		0.0	0.0	0.0	78603.234
34	296.1490101586171	1.7381667		0.0	0.0	0.0	20785.9525
35	733.5570496295969	1.7474406		171194.5775	117670.63	308087.3125	243343.36
