CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
51	75	2	0.8271	14.016
237	589	3	0.7046	98.110
237	793	3	0.7398	-35.949
237	808	3	0.7791	-35.948
237	825	3	0.7669	-35.948
719	797	3	0.7679	-0.000
720	825	3	0.888	-162.053
745	825	3	0.8833	-162.053
759	825	3	0.8868	-162.053
768	825	3	0.8987	-162.053
785	825	3	0.8878	-162.053
793	825	3	0.9556	0.000
808	825	3	0.9776	0.000
161	477	3	0.8147	-134.058
176	477	3	0.8443	-134.057
298	477	3	0.8664	-162.052
334	477	3	0.7633	-176.067
477	545	3	0.7719	204.062
758	797	3	0.7069	-0.000
767	797	3	0.7017	-0.000
720	758	3	0.7009	35.037
745	758	3	0.7085	35.037
758	759	3	0.7168	-35.037
758	767	3	0.7097	0.000
758	768	3	0.7033	-35.037
758	785	3	0.708	-35.037
589	759	3	0.8089	27.995
720	759	3	0.956	-0.000
745	759	3	0.9844	-0.000
759	768	3	0.9921	0.000
759	785	3	0.9856	0.000
759	793	3	0.8577	-162.053
759	808	3	0.9081	-162.053
589	785	3	0.8015	27.995
720	785	3	0.9507	0.000
745	785	3	0.9769	-0.000
768	785	3	0.9867	0.000
785	793	3	0.8546	-162.053
785	808	3	0.9081	-162.053
161	566	3	0.7646	69.080
176	566	3	0.7661	69.081
298	566	3	0.8094	41.086
334	566	3	0.8204	27.071
544	566	3	0.7349	-35.962
545	566	3	0.9314	-0.924
589	745	3	0.7917	27.995
720	745	3	0.9484	0.000
745	768	3	0.9843	-0.000
745	793	3	0.8558	-162.053
745	808	3	0.9059	-162.053
161	545	3	0.8326	70.004
176	545	3	0.8316	70.005
298	545	3	0.9027	42.011
334	545	3	0.9188	27.995
544	545	3	0.7606	-35.037
545	589	3	0.7485	20.006
545	720	3	0.729	48.001
545	768	3	0.7266	48.000
720	793	3	0.8461	-162.053
768	793	3	0.8675	-162.053
793	808	3	0.9599	0.000
161	298	3	0.9326	27.994
176	298	3	0.9357	27.994
298	334	3	0.9519	14.016
161	176	3	0.9047	-0.001
176	334	3	0.7929	42.010
161	334	3	0.8197	42.009
589	768	3	0.8062	27.995
720	768	3	0.9603	-0.000
768	808	3	0.9186	-162.053
720	808	3	0.8921	-162.053
589	720	3	0.7962	27.995
471	494	4	0.9373	-3.926
494	495	4	0.9177	17.026
494	504	4	0.8783	1.958
494	535	4	0.8407	2.045
471	504	4	0.8716	-1.968
495	504	4	0.7744	-15.068
504	535	4	0.9433	0.087
471	535	4	0.8401	-1.881
471	495	4	0.7965	13.100
315	755	5	0.8304	-18.011
458	755	5	0.8222	-3.958
616	755	5	0.8243	41.063
633	755	5	0.8967	28.031
641	755	5	0.8891	28.031
716	755	5	0.9201	-18.011
755	756	5	0.9172	21.021
755	760	5	0.9741	3.011
755	795	5	0.8528	-111.069
431	567	5	0.827	2.016
461	567	5	0.7819	0.000
525	567	5	0.8125	59.964
457	551	5	0.789	22.085
236	552	5	0.8474	90.046
419	552	5	0.873	-57.022
611	803	5	0.8362	-0.036
625	803	5	0.782	-0.073
688	803	5	0.7955	-28.068
803	824	5	0.8061	44.027
134	155	5	0.8977	54.047
146	155	5	0.8688	26.016
155	158	5	0.9331	2.015
155	170	5	0.9172	27.028
155	171	5	0.9267	28.031
155	183	5	0.9156	30.046
155	254	5	0.9166	84.094
155	349	5	0.9033	112.125
155	579	5	0.9031	154.172
155	635	5	0.8664	168.187
236	419	5	0.8489	147.068
224	525	5	0.8532	-8.990
261	525	5	0.7972	-45.985
315	525	5	0.8557	-60.001
457	525	5	0.8446	97.146
507	525	5	0.8817	27.047
