"feature_id","feature_id_full","feature_id_full_annotated","feature_mz","feature_rt","A_vs_B_p_value","A_vs_C_p_value","A_vs_D_p_value","B_vs_C_p_value","B_vs_D_p_value","C_vs_D_p_value","A_vs_B_p_value_minus_log10","A_vs_C_p_value_minus_log10","A_vs_D_p_value_minus_log10","B_vs_C_p_value_minus_log10","B_vs_D_p_value_minus_log10","C_vs_D_p_value_minus_log10","C_vs_D_fold_change","B_vs_D_fold_change","A_vs_D_fold_change","B_vs_C_fold_change","A_vs_C_fold_change","A_vs_B_fold_change","C_vs_D_fold_change_log2","B_vs_D_fold_change_log2","A_vs_D_fold_change_log2","B_vs_C_fold_change_log2","A_vs_C_fold_change_log2","A_vs_B_fold_change_log2","sirius_name","sirius_chebiasciiname","sirius_chebiid","sirius_confidencescoreapproximate","sirius_confidencescoreexact","sirius_csi_fingeridscore","sirius_siriusscore","sirius_zodiacscore","sirius_inchi","sirius_inchikey2d","sirius_molecularformula","sirius_adduct","sirius_smiles","canopus_npc_pathway","canopus_npc_class","canopus_npc_superclass","met_annot_structure_exact_mass","met_annot_structure_inchi","met_annot_structure_inchikey","met_annot_short_inchikey","met_annot_structure_smiles","met_annot_structure_molecular_formula","met_annot_structure_nametraditional","met_annot_structure_wikidata","met_annot_structure_taxonomy_npclassifier_01pathway","met_annot_structure_taxonomy_npclassifier_02superclass","met_annot_structure_taxonomy_npclassifier_01pathway_consensus","met_annot_structure_taxonomy_npclassifier_02superclass_consensus","met_annot_structure_taxonomy_npclassifier_03class_consensus","met_annot_organism_name","met_annot_organism_taxonomy_01domain","met_annot_organism_taxonomy_02kingdom","met_annot_organism_taxonomy_03phylum","met_annot_organism_taxonomy_04class","met_annot_organism_taxonomy_05order","met_annot_organism_taxonomy_06family","met_annot_organism_taxonomy_07tribe","met_annot_organism_taxonomy_08genus","met_annot_organism_taxonomy_09species","met_annot_organism_taxonomy_10varietas","met_annot_organism_taxonomy_ottid","met_annot_organism_wikidata","met_annot_score_taxo","A","A.pval","B","B.pval","C","C.pval","D","D.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
92,"92_90.06_2","NA_[92_90.06_2]",90.0552100870977,2.018329,4.1485026563981e-05,6.10353809060715e-05,0.000235683510605322,0.991492580589326,0.620818063717335,0.781911764967553,4.38210862748209,4.21441834076272,3.62767080145373,0.00371053130353034,0.207035655057489,0.106842252246719,1.08711246053126,1.11646302502756,0.655753455923172,1.02699864601125,0.603206641199486,0.587349013109488,0.120501193224806,0.158935472841821,-0.608774589148785,0.0384342796170146,-0.729275782373591,-0.767710061990605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6678275402208,0.00798403193612774,0.817041456918251,0.25748502994012,-0.759694670301821,0.640718562874252,-0.817041456918251,0.586826347305389,1.57688541314594,0.115768463073852,0.204460173160173,0.570858283433134
93,"93_116.03_2","NA_[93_116.03_2]",116.034498972751,2.0183501,6.64476720313445e-08,6.64476720313445e-08,6.64476720313445e-08,1,1,1,7.17752022979501,7.17752022979501,7.17752022979501,0,0,0,1,1,0.548031471271026,1,0.548031471271026,0.548031471271026,0,0,-0.867669351075748,0,-0.867669351075748,-0.867669351075748,"N-carboxy-beta-alanine",NA,NA,0.306,0.293,-69.596,13.523,1,"InChI=1S/C4H7NO4/c6-3(7)1-2-5-4(8)9/h5H,1-2H2,(H,6,7)(H,8,9)","NSMPFGWDOGVQDR","C4H7NO4","[M - H2O + H]+","C(CNC(=O)O)C(=O)O","Amino acids and Peptides","Aminoacids","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.86162431743767,0.00199600798403194,1.26693979201741,0.0558882235528942,2.05122521012367,0.0139720558882236,1.34406227991274,0.0419161676646707,3.97020214973039,0.00199600798403194,0.204610533910534,0.00199600798403194
94,"94_184.1_2","NA_[94_184.1_2]",184.09718631615,2.0187883,2.7217674815061e-05,3.57882709746127e-05,0.000147483986270625,0.996609024763581,0.620475813712063,0.740220209267661,4.56514897899018,4.44625928301049,3.83125513257976,0.00147518440630491,0.207275142732713,0.130639062102814,1.09431708897933,1.11580072772539,0.645600428536965,1.01963200516781,0.589957367054478,0.578598321810607,0.130030833573311,0.158079397424839,-0.63128655863854,0.0280485638515276,-0.761317392211851,-0.789365956063378,"1-(Ethoxycarbonyl)piperidine-4-carboxylic acid",NA,NA,0.213,0.213,-194.169,123.323,0.999,"InChI=1S/C9H15NO4/c1-2-14-9(13)10-5-3-7(4-6-10)8(11)12/h7H,2-6H2,1H3,(H,11,12)","BVEBMPFJSMEGJX","C9H15NO4","[M - H2O + H]+","CCOC(=O)N1CCC(CC1)C(=O)O","Fatty acids","N-acyl amines","Fatty amides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33280907916711,0.00998003992015968,1.63736530665978,0.127744510978044,1.63736530665978,0.117764471057884,1.26693979201741,0.163672654690619,3.44640322585666,0.0179640718562874,0.181344660894661,0.730538922155689
95,"95_220.12_2","NA_[95_220.12_2]",220.118232451326,2.019277,7.68456993296418e-05,0.000105092078709679,0.000326230216187606,0.995884203007681,0.75540773926841,0.865719142770989,4.11438043277931,3.97843001758093,3.48647581608607,0.00179115647431387,0.121818570071974,0.0626229792623185,1.06819213704717,1.08964396263008,0.669224565598918,1.02008236612021,0.626502051820818,0.614168103114714,0.0951711697163972,0.123856816418685,-0.579437690728583,0.0286856467022873,-0.674608860444981,-0.703294507147268,"(4-Acetyloxy-3-oxopentan-2-yl) acetate",NA,NA,0.044,0.044,-77.868,182.673,0.996,"InChI=1S/C9H14O5/c1-5(13-7(3)10)9(12)6(2)14-8(4)11/h5-6H,1-4H3","FLVDHHXYHNMUSE","C9H14O5","[M + H3N + H]+","CC(C(=O)C(C)OC(=O)C)OC(=O)C","Fatty acids","Lactones","Fatty esters","219.110672644","InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)","GHOKWGTUZJEAQD-UHFFFAOYSA-N","GHOKWGTUZJEAQD","CC(C)(CO)C(O)C(=O)NCCC(=O)O","C9H17NO5","DL-Pantothenic acid","http://www.wikidata.org/entity/Q179894","Amino acids and Peptides","Small peptides","Amino acids and Peptides","Small peptides","Dipeptides","Drosophila melanogaster","['Eukaryota']","['Metazoa']","['Arthropoda']","['Insecta']","['Diptera']","['Drosophilidae']","['Drosophilini']","['Drosophila']","['Drosophila melanogaster']","nan","505714.0","http://www.wikidata.org/entity/Q130888",9,3.6569808442258,0.00598802395209581,1.00100150250438,0.235528942115768,1.00100150250438,0.271457085828343,-0.426478981394723,0.502994011976048,3.41004280874253,0.0199600798403194,0.133522510822511,0.92814371257485
96,"96_202.11_2","NA_[96_202.11_2]",202.10778343964,2.019571,8.74208098159412e-05,0.000122873747407826,0.000375405153674957,0.994865328683593,0.755476486699509,0.873208859969584,4.05838517477424,3.91054089639596,3.42549976954836,0.0022357041467319,0.121779048010021,0.0588818663935224,1.0678161991847,1.09138075979756,0.668742422243194,1.02206799319101,0.626271096799052,0.612748956988431,0.094663340522776,0.126154515444668,-0.580477456081137,0.0314911749218921,-0.675140796603913,-0.706631971525806,"Pantothenate",NA,NA,0.888,0.888,-17.218,176.305,0.033,"InChI=1S/C9H17NO5/c1-9(2,5-11)7(14)8(15)10-4-3-6(12)13/h7,11,14H,3-5H2,1-2H3,(H,10,15)(H,12,13)","GHOKWGTUZJEAQD","C9H17NO5","[M - H2O + H]+","CC(C)(CO)C(C(=O)NCCC(=O)O)O","Fatty acids","N-acyl amines","Fatty amides","201.10010796","InChI=1S/C9H15NO4/c10-5(9(12)13)3-4-1-2-6(11)8-7(4)14-8/h4-8,11H,1-3,10H2,(H,12,13)/t4-,5-,6+,7+,8-/m0/s1","YMLXTGCTHGQQKS-TXXZRHAASA-N","YMLXTGCTHGQQKS","N[C@@H](C[C@@H]1CC[C@@H](O)[C@@H]2O[C@H]12)C(=O)O","C9H15NO4","L-dihydroanticapsin","http://www.wikidata.org/entity/Q27158510","Amino acids and Peptides","Small peptides","nan","nan","nan","Apis cerana","['Eukaryota']","['Metazoa']","['Arthropoda']","['Insecta']","['Hymenoptera']","['Apidae']","['Apini']","['Apis']","['Apis cerana']","nan","625771.0","http://www.wikidata.org/entity/Q306939",4,4.36613944176987,0.00199600798403194,1.67131567616219,0.109780439121756,2.14793159805948,0.0479041916167665,2.04044455927613,0.0578842315369262,4.10343023250012,0.00598802395209581,0.218802886002886,0.528942115768463
111,"111_716.52_2.1","NA_[111_716.52_2.1]",716.523911067726,2.0716376,0.0468235956972274,0.999964992496088,0.100552949391259,0.0506216970898345,0.968369589614327,0.108332900422244,1.32953523883453,1.52038318998187e-05,0.997605186274966,1.29566329923316,0.0139588574687016,0.965239629229462,0.776455123459953,1.05438237188788,0.773348587019291,1.35794373690196,0.995999077928909,0.733461225868756,-0.36502555087068,0.076398155387916,-0.370809239075133,0.441423706258596,-0.00578368820445341,-0.447207394463049,"[3-[2-aminoethoxy(hydroxy)phosphoryl]oxy-2-[(Z)-heptadec-9-enoyl]oxypropyl] (Z)-heptadec-9-enoate",NA,NA,0.615,0.532,-176.847,87.179,1,"InChI=1S/C39H74NO8P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-38(41)45-35-37(36-47-49(43,44)46-34-33-40)48-39(42)32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h15-18,37H,3-14,19-36,40H2,1-2H3,(H,43,44)","OOKVUXFXZHUJGT","C39H74NO8P","[M + H]+","CCCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OCCN)OC(=O)CCCCCCCC=CCCCCCCC","Fatty acids","Glycerophosphoethanolamines","Glycerophospholipids","715.515204958","InChI=1S/C39H74NO8P/c1-3-5-7-9-11-13-15-17-18-20-22-24-26-28-30-32-39(42)48-37(36-47-49(43,44)46-34-33-40)35-45-38(41)31-29-27-25-23-21-19-16-14-12-10-8-6-4-2/h11,13,17-18,37H,3-10,12,14-16,19-36,40H2,1-2H3,(H,43,44)/b13-11-,18-17-/t37-/m1/s1","HBZNVZIRJWODIB-NHCUFCNUSA-N","HBZNVZIRJWODIB","CCCCC/C=C\C/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCCN","C39H74NO8P","1-16:0-2-18:2-Phosphatidylethanolamine","http://www.wikidata.org/entity/Q27140321","Fatty acids","Glycerophospholipids","Fatty acids","Glycerophospholipids","Glycerophosphoethanolamines","Drosophila melanogaster","['Eukaryota']","['Metazoa']","['Arthropoda']","['Insecta']","['Diptera']","['Drosophilidae']","['Drosophilini']","['Drosophila']","['Drosophila melanogaster']","nan","505714.0","http://www.wikidata.org/entity/Q130888",9,1.41705050316284,0.147704590818363,2.68708616022302,0.0339321357285429,1.34406227991274,0.159680638722555,-1.29315150027968,0.768463073852295,2.17432654071266,0.0518962075848303,0.148481313131313,0.860279441117764
184,"184_662.53_2.6","NA_[184_662.53_2.6]",662.531993293361,2.56195,3.28819461925534e-06,1,1,3.28819461925534e-06,3.28819461925534e-06,1,5.48304248566748,0,0,5.48304248566748,5.48304248566748,0,1,0.579341564891134,1,0.579341564891134,1,1.72609745373252,0,-0.787513919932624,0,-0.787513919932624,0,0.787513919932624,"N,N,N',N'-Tetrakis(2-hydroxyethyl)-2,2-diundecyl-1,3-dioxolane-4,5-dicarboxamide",NA,NA,0.038,0.038,-289.561,32.663,0.067,"InChI=1S/C35H68N2O8/c1-3-5-7-9-11-13-15-17-19-21-35(22-20-18-16-14-12-10-8-6-4-2)44-31(33(42)36(23-27-38)24-28-39)32(45-35)34(43)37(25-29-40)26-30-41/h31-32,38-41H,3-30H2,1-2H3","JKPHYUDBNJXRCG","C35H68N2O8","[M + H3N + H]+","CCCCCCCCCCCC1(OC(C(O1)C(=O)N(CCO)CCO)C(=O)N(CCO)CCO)CCCCCCCCCCC","Amino acids and Peptides","Erythromycins","Macrolides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.00804832225625,0.0159680638722555,4.82159959601419,0.00199600798403194,1.41705050316284,0.0419161676646707,2.20808884294841,0.0139720558882236,4.76472291686804,0.00199600798403194,0.311101226551226,0.00998003992015968
218,"218_386.14_2.7","NA_[218_386.14_2.7]",386.144750585933,2.7279358,0.0235846682007711,0.00651454851542499,0.0058717900628511,0.880316270625873,0.854335106300226,0.999916908416388,1.62737022921636,2.18611567727356,2.23122948036978,0.0553612711327802,0.0683717472608116,3.6087715568619e-05,0.992137505234325,0.905042419976528,0.64418568415132,0.912214703306447,0.649290729110352,0.711774022888371,-0.0113880101906152,-0.143942680972705,-0.634451495069129,-0.13255467078209,-0.623063484878514,-0.490508814096424,"4-(acetyloxy)-2,5-dihydroxy-6-(hydroxymethyl)oxan-3-yl 3-(4-hydroxyphenyl)prop-2-enoate",NA,NA,0.117,0.117,-203.062,65.415,0.019,"InChI=1S/C17H20O9/c1-9(19)24-15-14(22)12(8-18)25-17(23)16(15)26-13(21)7-4-10-2-5-11(20)6-3-10/h2-7,12,14-18,20,22-23H,8H2,1H3","QXRDTLAXUJONPD","C17H20O9","[M + H3N + H]+","CC(=O)OC1C(C(OC(C1OC(=O)C=CC2=CC=C(C=C2)O)O)CO)O","Shikimates and Phenylpropanoids","Simple phenolic acids","Phenolic acids (C6-C1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.97729023839609,0.00598802395209581,-0.262630978825355,0.586826347305389,2.85132974256101,0.00798403193612774,1.41705050316284,0.117764471057884,3.56568446093945,0.00998003992015968,0.14472417027417,0.207584830339321
270,"270_476.22_3.1","NA_[270_476.22_3.1]",476.218757072744,3.09605,0.0139593078858949,0.0139593078858951,0.0139593078858951,1,1,1,1.855136113861,1.855136113861,1.855136113861,0,0,0,1,1,0.635016938768363,1,0.635016938768363,0.635016938768363,0,0,-0.655133019299908,0,-0.655133019299908,-0.655133019299908,"2-[(1S,3S,4aS,9aR)-1-(hydroxymethyl)-6-[(2-methoxy-1-oxoethyl)amino]-3,4,4a,9a-tetrahydro-1H-pyrano[3,4-b]benzofuran-3-yl]-N-[(2-fluorophenyl)methyl]acetamide",NA,NA,0.025,0.025,-680.909,45.042,0.971,"InChI=1S/C24H27FN2O6/c1-31-13-23(30)27-15-6-7-20-17(8-15)18-9-16(32-21(12-28)24(18)33-20)10-22(29)26-11-14-4-2-3-5-19(14)25/h2-8,16,18,21,24,28H,9-13H2,1H3,(H,26,29)(H,27,30)","QLCUJBUUXYDXPU","C24H27FN2O6","[M + H3N + H]+","COCC(=O)NC1=CC2=C(C=C1)OC3C2CC(OC3CO)CC(=O)NCC4=CC=CC=C4F","Amino acids and Peptides","Tripeptides","Small peptides",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.73727046020804,0.0199600798403194,0,0.838323353293413,0,0.808383233532934,0,0.820359281437126,1.72702014086136,0.0818363273453094,0.046971645021645,0.536926147704591
370,"370_403.21_3.7","NA_[370_403.21_3.7]",403.207993532381,3.6979723,0.0143970225421258,0.00464528396301245,0.00391882773002061,0.912768929681497,0.874172003641425,0.999624612045882,1.84172731535117,2.33298773273601,2.40684382750068,0.0396391515626003,0.0584031064013171,0.000163059524252008,0.987294231867202,0.911500195789323,0.635910781141227,0.923230549079037,0.644094496468973,0.69765292874189,-0.0184479964296525,-0.133685128733479,-0.653103726601225,-0.115237132303827,-0.634655730171572,-0.519418597867745,"6-amino-7-(2-methoxyethyl)-N-(3-methoxypropyl)-2-oxo-1,9-diaza-7-azoniatricyclo[8.4.0.03,8]tetradeca-3,5,7,9,11,13-hexaene-5-carboxamide",NA,NA,0.043,0.043,-297.705,53.412,0.992,"InChI=1S/C19H23N5O4/c1-27-10-5-7-21-18(25)13-12-14-17(24(16(13)20)9-11-28-2)22-15-6-3-4-8-23(15)19(14)26/h3-4,6,8,12,20H,5,7,9-11H2,1-2H3,(H,21,25)/p+1","JAVQIGGGXODZSE","C19H23N5O4","[M + H3N + H]+","COCCCNC(=O)C1=C([N+](=C2C(=C1)C(=O)N3C=CC=CC3=N2)CCOC)N","Alkaloids","Purine alkaloids","Pseudoalkaloids (transamidation)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.92293197428225,0.0259481037924152,-0.784947734032832,0.592814371257485,2.29230197460211,0.0558882235528942,1.73727046020804,0.0758483033932136,2.76996011232097,0.0259481037924152,0.175899567099567,0.435129740518962
